Book	Smell_Word	Smell_Source	Quality	Odour_Carrier	Evoked_Odorant	Location	Perceiver	Time	Circumstances	Effect	SentenceBefore	Sentence	SentenceAfter
bl08030	scented|scented	weed	scented|scented								She put him in one of her new - fashioned easy chairs , and Jabe admitted to himself that these were easier than the Beckside straight - backs .	Then she got him a pipe , praised her husband ' s scented weed , and playfully compelled compelled him to try it , charging the pipe herself , and even bringing him a lighted When he had got fairly agoing , she rated him teasingly about not having been to see them before , and suddenly remembering something something else , brought him a glass of balm wine , and insisted on his drinking to their happiness .	This unconscious coals - of - fire treatment made Jabe feel very bad indeed ; but just then the baby — a sturdy , young ten months ' old — awoke , and Susy brought him to Jabe to look at , and so bewitched him that , though FOR BETTER , FOR WORSE 185 he had scarcely touched a baby for thirty years , and felt dreadfully afraid of hurting it , he recklessly asked to be allowed to hold it , Susy , as he did so , stepping back and clapping her hands in admiration .
bl08030	whiff		quiet				he				It must , however , be stated , if we are to make a full and faithful record , that the Clogger did not bear his cross either meekly or silently .	Jabe had been busy one day teaching his apprentice the art of clog - sole shaping , and as the work had been trying to both his back A DIPLOMATIC REVERSE 219 and his temper , he was resting and taking a quiet whiff , meditating the while on a little problem which was just then exercising his mind .	Four or five months before , Ralph Green , the cut - looker , had died , leaving a wife and five children unprovided for .
bl08030	whiffs	The smoke|from	rapid								At length she said mildly — Aar Rutchart [ Richard ] thinks a seet o ' thee , Another snort from the Clogger , and a resumption of violent leg exercise .	He ' ll be whoam afoor lung , naa , and ther ' ll be noabry praader on him nor thee , The smoke began to puff from Jabe ' s pipe in short , rapid whiffs .	Didn ' t tha read as he wor thinkin ' o ' settlin ' amung his own souk i ' Beckside , Jabe ? 238 CLOG SHOP CHRONICLES Naa , Aw ' ll tell thee wot , cried the Clogger , rising to his feet and limping to the table , Aw ' st finish this letter , if it dreives me maddlet ; but , mind thee , Aw ' st write noa mooar , nayther fur thee nor yo ' r And with a visage of adamantine resolution , resolution , the Clogger picked up his pen and sat down again before demanding snappishly as he did so — Wot ' s th ' next ? Tell him fur t ' moind wot he ' s doin ' wi * them Lundon wenches .
bl08030	sniff		very demonstrative								The circuit steward from Duxbury , who had come with the minister , and was present as auditor of accounts , then took up the tale .	You know , brethren , this is a box ; simply a box ; and ( with a very demonstrative sniff ) a very musty box CLOG SHOP CHRONICLES 282 Nobody spoke .	A non - resident Trustee , who had also come in the circuit conveyance , next broke in — You know we must move with the times , friends .
bl08030	scent					into the shop					The pipes had all been charged , and Jethro was just opening the conversation , when a carriage was heard to stop outside .	The door opened ; a rustle of silk and a waft of scent came floating into the shop , and the great Madame Bona swept towards the ingle - nook .	Well , gentlemen ; how did you like my song ? she asked , still manifesting signs of emotion .
bl08031	fragrant|fragrant|breath		fragrant|fragrant								Everywhere appeared the proofs and evidences of life .	The winter was over , and now , from the sadness and sterility of its withered age , sprang young and lovely summer clad in sunshine , bediamonded with dew , and fragrant with the breath of flowers .	Jess lay back and looked up into the infinite depths above .
bl08031	odour	of the moonflowers	too strong			near the verandah	he				The old man smiled , jerked the stem of his pipe over his shoulder after her , and winked in a way that , no doubt , meant unutterable things , but which did not convey convey much to his astonished guest , who sat still and said nothing .	Then Bessie rose and bade him good - night in her pleasant voice , and with housewifely care inquired as to whether his room was to his taste , and how many blankets he liked upon his bed , telling him that if he found the odour of the moonflowers which grew near the verandah too strong , he had better shut the right - hand window and open that on the other side of the room .	Then at length , with a piquant little nod of her golden head , she went off , looking , John thought as he watched her retreating figure , about as healthy , graceful , and generally satisfactory a young woman as a man could wish to see .
bl08031	odorous|odorous|breath	of mimosa blooms|the stiff grey leaves	odorous|odorous				They				It was this : she was not an intellectual person , although cer - 190 JESS a beautiful striped butterfly perched deliberately upon the purple grapes ! It was a delightful day and a delightful spot .	They were too far from the camp to be disturbed by its rude noise , and the only sounds that reached their ears were the rippling of running water and the whispers of the wind , odorous with the breath of mimosa blooms , as it stirred the stiff grey leaves on the blue gums .	They were seated in the shade of the little house that Jess had learned to love as she had never loved a spot before , but around them lay the flood of sunshine shimmering like golden water ; and beyond the red line of the fence at the end of the garden , where the rich pomegranate bloom tried to blush the roses down , the hot air danced merrily above the rough stone wall like a million microscopic elves at play .
bl08031	stinks	it			of Englishmen						' ' And so I should , nephew , and so I should , if I had not been detained .	Surely you do not suppose that I would linger in the accursed place ? Bah , ' and he spat upon the ground , ' it stinks of Englishmen .	I cannot get the taste of them out of my mouth .
bl08031	smell	of fire									' Ah ! I recollect .	What is all this smell of fire ? Surely they have not burnt the place ? ' ' Yes , uncle , ' sobbed Bessie , ' they have .	' Silas groaned aloud .
bl08031	perfume	the rose	dangerous							that|apt to confuse confuse the senses and turn the head	He was perfectly innocent of the whole story ; to him she was the young lady who happened to be the sister of the woman he was going to many , that was all .	Why should she not pluck her innocent roses whilst she might ? Jess forgot that the rose is a flower with a dangerous perfume , and one that is apt to confuse confuse the senses and turn the head .	So she gave herself herself full swing , and for some weeks went nearer to knowing what happiness really meant than she ever had before .
bl08031	odour	of ferns|the mimosa flowers	sweet	the heavy air							I have seen many springs and many winters , and have looked down on many sleeping sleeping maids , and w * here are they now ? All dead — all dead , ' and an old baboon in the rocks with startling suddenness barked out ' all dead ' in answer .	Around her were the blooming lilies and the lustiness of springing life ; the heavy air was sweet with the odour of ferns and the mimosa flowers .	The running water splashed and musically fell ; the sunlight shot in golden bars athwart the shade , like the memory of happy days in the grey vista of a life ; away in the cliffs yonder , the rock - doves were preparing to nest by hundreds , and waking the silence with their cooing and the flutter of their wings .
bl08031	odorous|odorous	flowers|green|golden fruit	odorous|odorous								It was very solidly built of brown stone , and , with the exception of the waggon - shed and other outbuildings which were roofed with galvanised iron , that shone and glistened in the rays of the morning sun in a way that w * ould have made an eagle blink , was covered with rich brown thatch .	All along its front ran a wide verandah , up the trellis - work of which green vines and blooming creepers trailed pleasantly , and beyond was the broad carriage - drive of red soil , bordered with bushy orange - trees laden with odorous flowers and green and golden fruit .	On the farther side of the orange - trees were the gardens , fenced in with low walls of rough stone , and the orchard planted with standard fruit - trees , and beyond these again the oxen and ostrich kraals , the latter JOHN HAS AN ESCAPE 93 the room stood a table made of the pretty ' buckenhout ' wood , which has the appearance of having been industriously industriously pricked all over with a darning - needle , and round it were chairs and couches of stinkwood , and seated with rimpis or strips of hide .
bl08031	snuff						the neighbour				Silas saw them coming , and , taking his rifle in his hand , went and stood beneath the flag , for which he had an almost MEANUTIILE 259 to their neighbour about the w * onderful thing which had come to pass , that the Boers were beating the great white people , who came out of the sea and shook the earth with their tread .	Whereon the neighbour would take the opportunity to relax from toil , squat down , have a pinch of snuff , and relate in what particular collection collection of rocks on the hillside he and his wives slept the last night — for when the Boers are out on commando the Kafirs will not sleep in their huts for fear of being surprised surprised and shot down .	Then the pair would spend half an hour or so in speculating on w * hat would be their fate when the Boer had eaten up the Englishman and taken back the country , and finally come to the conclusion that they had better emigrate to Natal .
bl08031	stink|stink	cat	stink|stink								' Almighty ! ' said old Hans , wiping his face with a red cotton pocket - handkerchief ; ' I have put my foot into a big hole .	That stink - cat Muller heard all that I was saying to you , and I tell you he will save it up and save it up , and one day he will bring it all out to the volk , and call me a traitor to the land and ruin me .	I know him .
bl08033	smell	of the tobaccosmoke					you				That from low which Coleridge considers so great a charm in Homer , is conspicuous also in Brown , and is remarkable in one so lowly born .	He can take us into the Bell and where the foaming quart goes round ; and when you come out the smell of the tobaccosmoke tobaccosmoke has not passed upon you .	One may accompany him through the holiday throng at the fair , to the pugilistic riug , and so forth ; yet there is nothing coarse to offend the ear .
bl08033	hues|fragrance	of the wild flowers	varied								Nevertheless , in this Ode , the easy , even flow of language might remind us somewhat of Dryden or Gray ; while the sentiments expressed are characterised by that appreciative sense of the beauties of nature , animate and inanimate , which appears continually in all his writings .	The carols of the birds , the varied hues and fragrance of the wild flowers , the song of the milkmaid , the guileless whispers of the lovers , all seem to catch his eye , or his ear , and to cast a spell upon his feelings ; instilling a cheerful calm into his breast , which breathes in his language .	We read in Holy Writ ( Gen .
bl08033	fragrance	of the new - made hay	sweet								Oh , smile ! ye lovers , smile ! and be not sad ; Rejoice in heaven , now nature ' s fields are clad With wild flowers blooming ; let your voices sing ; For love is heaven ; and angels on it wing , Through the pure ether of the evening sky , To list the language of each breathless sigh ; To feel love ' s passion in each soul suppress ' d , And tell the workings in each beating breast .	Yes ; angels hear ye , though ye speak unheard , Unconscious roaming , as the warbling bird Tunes its last song upon the bending spray : — And sweet the fragrance of the new - made hay .	The fading sun - rays now no longer cast Their gleamy brightness , for the day is past ; Whilst love ' s bewitching hour , the dim twilight , Creeps , with her mantle , o ' er the moonless night ; And west - winds breathing , as each flow ' r inhales The copious dew - draught , wafted on the gales , Of mountain freshness ; whence so fountful flow The streams * descending from the mountain ' s brow , 1 1 Mountain .
bl08033	odours|smell	hawthorn - blossoms	fragrant|sweet								But now no longer shall my muse prolong The lover ' s passion or the linnet ' s song ; Awhile I leave them , for I fain would tell The glowing beauties in my native dell ; And how the truant , on its bank , I ' ve play ' d , With school companions in its sunny shade ; Such be my thoughts ; my muse will swell the strain , And gladness echo back its notes again .	Bloom , then , ye flowers on the moss - bank side ; Bloom , hawthorn - blossoms , in your rural pride ; Shed fragrant odours , for the smell is sweet ; Ye busy townsmen do they not ye greet ? Do not the meadows when the sky is clear , Invite your daughters forth to ramble there ? Where daisies , buttercups , and cowslips blow Amongst the herbage ; and the nigh hills glow With orient brightness ; o ' er my vale distend , Gold eastern sunbeams : peacefully they blend With quiet waters , in the stagnant pool ; And milk - maids tripping with their kit and stool , Sing as they pass ; right tuneful is their lay ; The plough boy listens to their notes so gay , That softly fall ; while from the woods rebound Melodious accents , music in the sound .	From yonder village comes the farmer ' s team , And wakes the townsmen from their morning dream ; Some for the fields prepare , while others view The cloudless ether of the sky ' s bright hue ; Or watch returning , on the causeway stray ' d , 1 1 On the causeway stray ' d , & # 34 ; i .
bl08033	fragrance|sweetness|odours	from each leaf|its|midst the swelling trees						From daylight			6 I careless wander ' d with companions gay , The truant rambler of a summer ' s day ; Pursuing pleasure , midst the charms that fed My wavering fancy , wheresoe ' er I stray ' d ; No care oppressing , on my feeble mind , I laugh ' d and sported as the playful wind , That heedless wafts the sailor ' s bark at sea ; The meads my ocean — happy home to me .	And may ' st thou happier be to them who dwell , Amid the beauties of thy flow ' ry dell , Diffusing fragrance from each leaf and bower , From daylight ' s dawn , till evening ' s stilly hour ; That maids and matrons from the busy town , May silent worship ere the sun goes down ; Imbibe the sweetness from the luscious breeze , That wafts its odours midst the swelling trees ; There , while one ling ' ring ray the sun may cast , Muse I in song , a poet , on the past ; And should approving smiles on soft lips play , ' Twill crown the efforts of my humble lay .	NEDDY AND SALLY ; OR , THE STATUTE DAY .
bl08033	scenting						They|the rural folks				Having been mortgaged , mortgaged , beyond its value , as a property , and being disused , and falling into decay , the sails were removed in the year 1889 , as a precaution for the safety of the houses standing near .	2 They smile to hear the noise and Like the war - steed , scenting the battle from afar , the rural folks as they approach the town , are exhilarated by the sounds of the melee , in which they are about to be involved .	involved .
bl08033	frying|frying	frying|frying black - puddings									To those who have not witnessed the Statute in its hey day , no more graphic description can be given than that which is couched in the rhyming terms of old Alexander Stevens .	Crowds upon crowds driving , Like wind and tide meeting , each contrary striving ; Shrill fiddling , Bharp fighting , and shouting and shrieking , Fifes , trumpets , drums , bag - pipes , and barrow - girls shrieking — Here were drolls , horn - pipe dancing , and showing of postures ; With frying black - puddings , and opening of oysters .	Its origin has baffled investigation .
bl08033	fragrance	odorif ' rous smoke|its									Formality , that cold and bloodless knave , At once the tyrant , and the cringing slave , Finds here no home ; for all whom pleasure warms , Shun the embraces of his icy arms .	' Mid rising curls of odorif ' rous smoke , All here enjoy the tankard and the joke ! When smiling spring with daisies decks the ground , And fervid summer breathes its fragrance round , My sanded floor , that grits beneath your Is laughing Mirth ' s , and smiling Joy ' s , retreat ; And when chill Autumn ' s shorten ' d day ' s gone by , And frowning winter lowers in the sky , With happy hearts , around my well - trimmed fire , Both cheerful youth , and wrinkled age , retire .	Though here no abstruse mysteries are found , Discussion warms on many a theme profound : — For oft the lights of Truth , though undefined , Are shed by Nature on the untutored mind ; Hence e ' en Philosophers , with heads well stored , Spread the broad blaze of science round my board ; And nameless Poets , with prolific brains , Explore the highest realms where fancy reigns ; And Moralists expound how first began The laws that here affiance man to man ; And Politicians , with unsparing hand , Lash Legislature , for their native land ; 1 Erects the horns of i .
bl08033	smell	the blood of a christian man					I				v .	) Fe fl so sum , I smell the blood of a christian man , Be he dead , or be he living , wi ' my brand I ' ll clash his haernes fra his ( Child ' s Ballads , i .	, 251 .
bl08033	fragrant|fragrant	Their	fragrant|fragrant								The Angels breathe on flowers , The flowers their joy express , In bursting forth in beauty , In looks of thankfulness .	How fondly should we prize them ! Their fragrant sweets are given To win us to the Angels , And lead us back to heaven .	128 JESSIE LEAF .
bl08033	stinking|stinking	idoll	stinking|stinking								The following condemnatory condemnatory description of the follies and enormities of the may - pole ceremonies of olden times by the Puritan , Philip Stubbs , may not be uninteresting .	Having premised that Sathan , prince of hell , presideth over their pastynies and he proceeds , But their cheapest jewell is their Maie poole , which they bringe with greate veneration , as thus : they have twentie or fourtie yoke of oxen , everyone oxe havyng a sweete nosegaie of flowers tyed on the tippe of his homes ; and these oxen drawe this Maie poole — this stinking idoll rather — which is covered all over with flowers and herbes bounde rounde aboute with stringes , from the top to the bottom , and sometyme painted with variable colours , with two or three hundred men , women , and children , followyng it with greate devotion .	And thus beyng reared up , with hankercheifes and flagges streamyng on the toppe , they strawe the grounde aboute , binde greene boughes aboute it , sett up sommer haulles , bowers , and arbours hard by it .
bl08034	fragrant|fragrant	they	fragrant|fragrant								What would she wear ? Pink crepe de chine and cream - coloured chrysanthemum chrysanthemum — no ; cream - coloured cashmere and scarlet fairy roses .	She would pluck them at sunset , so that they would be fresh and fragrant ; and at that moment Alice would skim down the vinearcade vinearcade : ' He is here , Stella ; your friend has come ! ' Her heart beat so loud and hard , that she placed her hand over it .	She went up through the vine - arcade , that bent under its great clusters of grapes — a white - breasted fantail carolling over head , mad with mirth , as though it had sipped some frantic liquor ; and now she was in the hall , her hand was on the door .
bl08034	fragrant|fragrant		fragrant|fragrant								By - and - by there were visitors and afternoon tea - parties , but both of a very mild , not to say tepid , character .	Dull people do not understand the grateful fillip that the beverage , when quite fresh and fragrant , gives to the spirits and imagination .	imagination .
bl08034	odorous|odorous	chaplets	great odorous|odorous					from year to year			37 98 ' AN AUSTRALIAN GIRL .	Some of the white gums by the creek were already sprinkled with the great odorous chaplets they wear from year to year , when the myrtlelike myrtlelike blossoms have thrust aside the closely - fitting lids of the exquisite cup - buds .	The white gum variety of the eucalyptus is one of the most graceful graceful of trees .
bl08034	fragrant|fragrant	glossy|bellblossoms	fragrant|fragrant		as orange - flowers						190 was a magnificent creature , in scarlet and dark green and yellow and lazuline blue .	' And while chatting after this fashion , they reached the hymenosperum , a beautiful tree of Eastern Australia , with glossy eucalyptus - like leaves and drooping clusters of long slender bellblossoms , bellblossoms , from eight to twelve in a bunch , ranging in colour from delicate cream to saffron , and fragrant as orange - flowers .	Stella uttered an exclamation of surprise when she saw the tree arrayed in opening blooms .
bl08034	scented|scented	Australian	exquisitely scented|scented								But this tree of yours is perfectly lovely .	When your Australian trees do blossom , they do it in a wonderfully generous fashion — and how exquisitely scented ! ' Then Stella drew his attention to a bee that was struggling hard to penetrate into the depths of one of the deep flower - bells .	It was too slender for the industrious creature ' s body , or its thighs were too heavily laden with wax ; for after writhing writhing for some time , with a muffled half - angry hum , the bee drew out its head and shoulders .
bl08034	fragrance	a thousand rose - leaves	Eastern	it							She took it up and looked at it with a strange expression on her face .	It was bulky , with double postage on it , and that Eastern fragrance clung to it of a thousand rose - leaves crushed into a pin - point of liquid , which had been dear to Stella from childhood .	childhood .
bl08034	famished	animals									Laurette could hardly have explained why the reminiscence heightened that half - vindictive spite never very distant from the feeling with which she regarded Stella .	He had the same insuperable difficulty that beset Duke of being unable to regulate his pace by that of animals so famished , so overborne and jaded , that even their hides would have been worthless .	As Stella examined them more closely she saw that they had sores all over them — under the jagged collars that were held together with half - untwisted strands of rope , on their shoulders , sides , and thighs .
bl08034	fragrance	of acacias|whose racemes of tufted gold	poignant	the air							' So utterly maimed and defeated did they look as they dragged one quivering , shrunken leg after another , the only 32 — 2 152 AN AUSTRALIAN GIRL .	depths of acacias , whose racemes of tufted gold censed the air with poignant fragrance ; the clear song of the little brown fly - catcher perched on the orchard - palings vied in sweetness with the halfbrooding halfbrooding carol of the flame - breasted robin flitting from bush to bush ; away in the woods rose the calls of the wild gray pigeons , soft and musical as the notes of the ring - dove which was stolen by the lover of old for a love - gift when it brooded in the juniper - tree ; everywhere the hum of the tawny , hairy bees might be heard as they flitter from pear to peach tree , or among the wide branches of the white gum - trees , now sprinkled with pale - cream myrtle - blossoms , whose exquisite cups were full of honey and pollen .	Each sight and sound was so far removed from the vulgar bustle and throng of life that one became unconsciously unconsciously steeped in a sense of large quiet leisure , as if all the world and all the days to come were part of one unbroken holiday .
bl08034	breath		exquisite	the							' CHAPTER VIII A few days later the two friends met again by the Oolloolloo , a couple of hours before sunset , where Stella was wandering with some of the children , noting the triumphant way in which spring was making its presence known .	There were some tan wattles fully out in perfect arcs of blossom like great globes of spun gold , embalming the air all round with their exquisite breath .	Surely no tree in the world flowers more generously , or pours its whole life out in fragrance more unreservedly , than the Australian wattle .
bl08034	fragrance	tree|the Australian wattle									There were some tan wattles fully out in perfect arcs of blossom like great globes of spun gold , embalming the air all round with their exquisite breath .	Surely no tree in the world flowers more generously , or pours its whole life out in fragrance more unreservedly , than the Australian wattle .	Its breath in the air is like a potent cordial , poignant and exhilarating .
bl08034	breath			in the air							Surely no tree in the world flowers more generously , or pours its whole life out in fragrance more unreservedly , than the Australian wattle .	Its breath in the air is like a potent cordial , poignant and exhilarating .	The clusters of great , golden , woolly blossoms have in them the honey of roses , the pollen of lilies , the tints of sun - filled primroses , and the arrowy odours of opening daffodils .
bl08034	odours	The clusters of great , golden , woolly blossoms|the pollen of lilies|the tints of sun - filled primroses|of opening daffodils	arrowy								Its breath in the air is like a potent cordial , poignant and exhilarating .	The clusters of great , golden , woolly blossoms have in them the honey of roses , the pollen of lilies , the tints of sun - filled primroses , and the arrowy odours of opening daffodils .	Branch drooping upon branch , with hardly a leaf to break the luxuriant wealth of flower , the tan wattle , on its native soil , is one of those sights of beauty which once seen can never ' pass into nothingness .
bl08034	fragrant|fragrant	hymenosperum blossoms	fragrant|fragrant								' Well , not as a rule , ' he answered , smiling ; ' but there were family letters that kept me occupied till I got here ; and then , you know , at Lull there are things so much more interesting than letters from one ' s lawyer .	' ' You may read it now — I will excuse you , ' said Stella , and she went to gather clusters of the fragrant hymenosperum blossoms , picking out those that had just opened , which were pale cream , and mixing with them a few of those that had been opened a few days , which had assumed a delicate saffron tint .	Then the clear musical song of a superb warbler rose near , and she saw one on a laurustinus bush not far off — a little male bird , gorgeous in its spring attire of shining pale azure and dark blue , its little tail erect as that of a fantail pigeon .
bl08034	smell		so sweet	geraniums					When an old log is burnt up		They take old bits of dead bark and make them into butterfly wings , with gold and purple spots on them .	When an old log is burnt up they make the little geraniums , that smell so sweet , out of the ashes .	They never go to sleep , and they never stop working , and they are never tired and never seen , and they never let the tiniest scrap of anything go to waste .
bl08034	scentless|scentless	the petunias|rhodanthes|them	so hard|scentless|scentless								' How little notice you take of these brilliant bushes of flowers , St .	Charity ! ' ' Oh , the petunias and rhodanthes ! Well , most of them are so hard and scentless .	With a cunning pair of scissors , wire , and a few sheets of French - coloured paper , one might turn out basket - AN AUSTRALIAN GIRL .
bl08034	fragrance	of the wild geraniums					our				Anson , and ran : ' Dear Rose , ' What an age it is since we met ! Can you imagine that your grief and undeserved mis - 284 AN AUSTRALIAN GIRL .	the fragrance of the wild geraniums that our horses crushed under their hoofs in one place ? It comes floating in with the moonbeams at this moment .	But to be the elixir of life it must be accompanied with the sound of a voice — the voice which in all God ' s wide universe But is this what one writes to a friend ? And what is the use of trying to make a pen say all that rises in the heart ? ' Oh , you little cold , good creature ! I say to it ; you are sometimes wonderfully cunning .
bl08034	aromatic|aromatic		aromatic|aromatic								suggestions .	At sight of her pallid face in the glass , Stella sponged her cheeks with pungent aromatic vinegar .	The delicate skin responded at once to the touch , and her determination to keep at bay the rising sorrow that at times threatened like a great flood to sweep all embankments into its whirling eddies , kept the colour in her cheeks and the fire in her eyes .
bl08034	fragrance	of gum - leaves		in the keen morning air							157 stringy bark trees , that grow so thick the sun can hardly pass between them .	It was a most glorious ride , in the keen morning air loaded with the fragrance of gum - leaves .	' ' I wonder if you would let me come with you some morning ? ' ' Oh , we shall be delighted ; but then it is in the mornings you write your novel .
bl08035	scented			in the air			He				He turned his eyes again to the blazing yacht , and this time there Avas no trace of envy in them .	He laughed instead , partly with pleasure at the thought of the struggle he scented in the air , and partly at his own braggadocio .	' I ' m not afraid , ' he said , smiling , and shaking his head at the white ship that loomed up like a manof - war manof - war in the black waters .
bl08035	odour|smells	of ripening fruit	pungent	the air							The horses had dropped into a tired walk , and drew them smoothly over the Avhite road ; from behind the hood came broken snatches of the boys ' talk , and above their heads the heavy leaves of the palms bent and bowed as though in benediction .	A Avarm breeze from the land filled the air with the odour of ripening fruit and pungent smells , and the silence seemed to envelop them and mark them as the only living creatures awake in the brilliant tropical night .	Hope sank slowly back , and as she did so , her shoulder touched for an instant against Clay ' s knee ; she straightened herself and made a movement as though to rise .
bl08035	smell	the East					his readers				— ' There is no one but Mr .	Kipling who can make his readers taste and smell , as well as see and hear , the East ; and in this book ( if we except the description of Tarvin ' s adventures in the deserted city of Gunvaur , which is perhaps less clear - cut than usual ) he has surely surpassed himself .	In his faculty for getting inside the Eastern mind and showing its queer workings , Mr .
bl08035	smells	wallpaper				the passages	our				The house , for instance , where Marr died , the lodgings and the landlady of the heroine , are described with a force and a vividness , with a poignant and semi - humorous precision , which recalls the art of Balzac more than that of any other writer .	The furniture , the wallpaper , wallpaper , the smells that haunt the passages , — all these details are brought home to our senses , and leave on the mind an impression not unlike that produced by the boarding - house in Pere Goriot .	' London : AVILLIAM HEINEMANN , 21 Bedford Street , W .
bl08035	odours|smell|odour	of tree and soil|of the fresh coat of paint|of spilt coffee - grains		a soft inland breeze|by|by a|a jealous|jealous ocean|ocean breeze|breeze		from her|around the hatches	She|her		by|by a|a jealous|jealous ocean|ocean breeze|breeze|washed by a welcoming cross - sea		The steamer Santiago , carrying ' passengers , bullion , and coffee , ' was headed to pass Porto Rico by mi d night , Avhen she would be free of land until she anchored at the quarantine station of the green hills of Staten Island .	She had not yet shaken off the contamination of the earth ; a soft inland breeze still tantalized her with odours of tree and soil , the smell of the fresh coat of paint that had followed her coaling rose from her sides , and the odour of spilt coffee - grains that hung around the hatches had yet to be blown away by a jealous ocean breeze , or washed by a welcoming cross - sea .	The captain stopped at the open entrance of the Social Hall .
bl08036	smell	of says Honor	delicious|perpetual								I often wonder what mother would do if father were a poor man , and she had to make her own dresses , and do her own hair , and we had the washing done at home .	Ah ! that would just suit mother , wouldn ' t it ? Fancy how delicious — a perpetual smell of says Honor gently , must not talk like that about mother ; she is delicate , of course , and you know what Miss Denison says about the back being fitted to the SHOPPING AND A REHEARSAL .	39 that ' s all very well ! but j ' ou know there are burdens clapped on people ' s backs when they least expect it sometimes , at least so I ' ve read in books , so I don ' t altogether believe in that In half an hour ' s time the two girls , radiant and comfortable , with rugs , foot - warmers , and muffs , are being whisked through the now slushy streets by a pair of fresh young horses .
bl08036	smelling	her|salts					Merivale				Their father doesn ' t seem to mind it — indeed I really believe he likes it rather than otherwise ; but oh , what my poor nerves have gone and Mrs .	Merivale shudders and looks round for her smelling - salts .	What we shall do without you when you leave us for good I really don ' t she continues .
bl08036	smelling	salts		handkerchief							Honor , you will know where to find me .	Your father may want to send some telegrams , and I may be able to help When Doris enters the drawing - room she looks with a little surprise at her mother , who with closed eyes , handkerchief pressed to her delicate nose , and smelling - salts well within reach , is now gracefully reclining on the sofa .	Advancing further into the room she says softly , 74 THREE BRIGHT GIRLS .
bl08036	smelling	salts								Merivale to a violent fit of hysterics	In plain words , the trying nature of the past conversation has reduced Mrs .	Merivale to a violent fit of hysterics ; and Lady Woodhouse , deeming it advisable that she should be left alone with her sister for a time , takes the smelling - salts from Honor ' s hand , and whispering Leave her to me , child , and I will bring her signs to the girl to leave the room .	On going downstairs Honor sees Hugh Horton standing in a hesitating sort of manner on the door - 90 THREE BRIGHT GIRLS .
bl08036	smelling|smelling	grass	sweet - smelling|smelling								I am not certain , however , that she would not prefer some nice fresh grass even to plum - cake if you w7ere to pluck it and offer it to her .	Ah ! I thought as the little girl goes fearlessly up to the placidlooking placidlooking animal , her hands full of sweet - smelling grass .	White - star stoops her head , gravely inspecting Daisy at first , then she puts her soft velvety nose into the child ' s hands and gently gathers up the contents into her mouth .
bl08036	smelling -			bottle			Merivale				she adds hastily , seeing a slightly incredulous expression pass across the young man ' s face , she would not be strong enough to do anything in the way of mutters the doctor grimly , and following Honor walks down to the drawing - room , where Mrs .	Merivale , with smelling - bottle close at hand , is reclining on the sofa .	It does not take the clear - sighted doctor long to sum up this lady ' s character .
bl08036	smells	soup									DORIS ' S OF THE IT is a lovely , warm day at the beginning of June , and Doris , having made the beds in conjunction with Molly , and afterwards drifted round the rooms with a duster in a desultory sort of fashion which , had she seen her , would have driven energetic Honor well - nigh crazy , presents herself in the kitchen where her sister is engaged in certain culinary matters .	soup smells she remarks , as Honor , pepper - caster in hand , gives a final stir round the doris ' s of the 179 saucepan over which she is bending , and turns to confront confront her sister .	There is not much in it besides the pea - flour , and a flavouring of carrots and onions — oh , and the bacon bone , which has been stewing ever since the early morning .
bl08036	smell	of the oils|turpentine								turn the child faint	Sometimes Daisy sits up there , cosily curled up in the most comfortable arm - chair .	But this does not happen very often , as the smell of the oils and turpentine turn the child faint .	Molly , however , who has taken to reading herself as she calls it , is often up there , and may be found in her favourite attitude when particularly absorbed in anything — her elbows planted on the table , and her fingers buried in her hair .
bl08036	scent	of the rich grass|the multitudes of early summer flowers		the sweet soft air		the attic studio					And to tell you the truth , lowering her voice , am not always so very confident of doing that .	It ' s dreadfully shocking , of course , but none the less And so there is often quite an industrious party to be found up in the attic studio , with the windows wide open , letting in the sweet soft air , laden with the scent of the rich grass ( so soon to fall beneath the scythe ) , and the multitudes of early summer flowers ; and the girls feel that they are happier in their busy useful life , even though there are still crosses and trials for all to bear at times , than in former days , when living a life of luxury and ease .	There is one never - to - be - forgotten sorrow which all share , however , and though some time has elapsed now since their kind and indulgent father passed away , his memory is still as fresh as ever in their young minds .
bl08036	smelling			bottle							' O , Doris 212 THREE BRIGHT GIRLS .	child ! ' she gasped faintly , ' if ever I get out of this boat alive I will never go into another , if I have to live all my life in France ! ' Well , I raised her up and placed her a little more comfortably , and in doing this her bonnet fell off , and — you girls won ' t beheve me , perhaps , but I daresay mother knows — there , as plain to see as anything , was a little bald patch , about as big as half - a - crown , on the top of her head ! Poor aunt ! she was in far too great misery to think about such trifles then , and only told me to put her feet a little higher and to bring her smelling - bottle .	But I shall always think of it whenever anyone asks her to take her bonnet off ! By the by , aunt says she knows Mr .
bl08036	sniff		little|imperceptible imperceptible				Ferrars				Your uncle and Mr .	Ferrars seem to have taken quite a fancy to each other judicially remarked remarked Aunt Sophia , with a little , almost imperceptible imperceptible sniff , which always accompanied any attempt at acting on her part .	You see , Doris , it must be lonely work for a man to be travelling by himself ; though , of course , Mr .
